iter	Passed	Remaining
354	429725	3201754
355	430852	3199926
356	432025	3198444
357	433305	3197746
358	434422	3195850
359	435569	3194173
360	436739	3192676
361	437941	3191406
362	439205	3190589
363	440394	3189231
364	441591	3187931
365	442863	3187168
366	444021	3185583
367	445163	3183886
368	446282	3182028
369	447420	3180310
370	448530	3178399
371	449701	3176920
372	450806	3174983
373	452013	3173763
374	453161	3172133
375	454368	3170915
376	455492	3169119
377	456641	3167497
378	457759	3165663
379	458957	3164388
380	460125	3162908
381	461277	3161323
382	462487	3160127
383	463621	3158423
384	464794	3156978
385	465960	3155496
386	467140	3154101
387	468298	3152562
388	469511	3151399
389	470845	3151039
390	472122	3150298
391	473271	3148703
392	474535	3147870
393	475666	3146160
394	476864	3144890
395	478019	3143343
396	479213	3142044
397	480385	3140613
398	481508	3138854
399	482708	3137603
400	483967	3136738
401	485188	3135622
402	486319	3133924
403	487447	3132212
404	488616	3130765
405	489862	3129812
406	491154	3129146
407	492367	3127981
408	493542	3126575
409	494689	3124988
410	495883	3123704
411	497091	3122508
412	498383	3121837
413	499543	3120337
414	500751	3119140
415	501890	3117510
416	503134	3116541
417	504351	3115396
418	505478	3113700
419	506709	3112646
420	507886	3111258
421	509057	3109831
422	510193	3108197
423	511323	3106531
424	512567	3105553
425	513795	3104481
426	514978	3103134
427	516264	3102414
428	517417	3100887
429	518570	3099360
430	519704	3097727
431	520936	3096680
432	522174	3095665
433	523486	3095080
434	524712	3093993
435	525958	3093024
436	527086	3091354
437	528296	3090170
438	529489	3088888
439	530726	3087861
440	531848	3086167
441	533043	3084900
442	534189	3083344
443	535381	3082060
444	536523	3080489
445	537686	3079040
446	538828	3077471
447	540031	3076250
448	541211	3074898
449	542405	3073632
450	543640	3072591
451	544866	3071503
452	546008	3069942
453	547163	3068456
454	548306	3066900
455	549583	3066099
456	550730	3064569
457	551879	3063052
458	553103	3061949
459	554262	3060493
460	555438	3059127
461	556783	3058691
462	557928	3057160
463	559120	3055884
464	560315	3054623
465	561428	3052920
466	562569	3051369
467	563719	3049866
468	564891	3048485
469	566052	3047049
470	567240	3045758
471	568437	3044514
472	569655	3043379
473	570853	3042143
474	572036	3040827
475	573416	3040551
476	574685	3039688
477	575883	3038450
478	577056	3037073
479	578202	3035565
480	579422	3034441
481	580548	3032822
482	581712	3031407
483	582854	3029878
484	584061	3028690
485	585262	3027468
486	586409	3025970
487	587543	3024404
488	588765	3023293
489	589945	3021967
490	591141	3020723
491	592339	3019487
492	593509	3018107
493	594768	3017187
494	596079	3016523
495	597276	3015283
496	598529	3014327
497	599839	3013652
498	600969	3012074
499	602179	3010899
500	603446	3010003
501	604639	3008745
502	605833	3007485
503	607057	3006378
504	608243	3005085
505	609393	3003612
506	610609	3002465
507	611798	3001187
508	612940	2999675
509	614092	2998216
510	615245	2996764
511	616374	2995195
512	617573	2993968
513	618832	2993028
514	619999	2991650
515	621188	2990370
516	622400	2989208
517	623574	2987862
518	624762	2986581
519	625943	2985268
520	627142	2984041
521	628298	2982610
522	629476	2981287
523	630702	2980190
524	631877	2978849
525	633089	2977686
526	634335	2976681
527	635561	2975582
528	636714	2974141
529	637933	2973011
530	639119	2971722
531	640299	2970412
532	641552	2969437
533	642806	2968467
534	643940	2966940
535	645124	2965646
536	646336	2964482
537	647494	2963071
538	648657	2961679
539	649867	2960505
540	651109	2959478
541	652304	2958236
542	653452	2956782
543	654618	2955409
544	655740	2953840
545	656913	2952499
546	658071	2951095
547	659211	2949610
548	660371	2948216
549	661537	2946848
550	662787	2945855
551	663987	2944641
552	665220	2943569
553	666367	2942120
554	667580	2940964
555	668717	2939470
556	669928	2938302
557	671081	2936882
558	672251	2935539
559	673457	2934349
560	674599	2932886
561	675783	2931600
562	676983	2930387
563	678159	2929070
564	679427	2928151
565	680613	2926877
566	681732	2925318
567	682894	2923944
568	684026	2922439
569	685199	2921114
570	686380	2919820
571	687627	2918811
572	688787	2917430
573	689947	2916049
574	691114	2914700
575	692400	2913850
576	693690	2913019
577	694864	2911699
578	696018	2910296
579	697289	2909379
580	698437	2907950
581	699572	2906471
582	700761	2905216
583	701991	2904129
584	703178	2902863
585	704390	2901703
586	705516	2900190
587	706649	2898707
588	707821	2897380
589	708997	2896074
590	710124	2894569
591	711292	2893229
592	712459	2891887
593	713569	2890316
594	714733	2888966
595	715919	2887700
596	717101	2886423
597	718239	2884969
598	719355	2883427
599	720537	2882150
600	721722	2880885
601	723020	2880071
602	724366	2879447
603	725609	2878413
604	726745	2876951
605	727885	2875506
606	729054	2874180
607	730153	2872577
608	731311	2871207
609	732447	2869754
610	733665	2868619
611	734840	2867316
612	736005	2865977
613	737162	2864607
614	738283	2863101
615	739471	2861851
616	740597	2860363
617	741759	2859014
618	742934	2857717
619	744127	2856490
620	745332	2855305
621	746526	2854084
622	747776	2853072
623	748924	2851674
624	750086	2850329
625	751261	2849032
626	752437	2847742
627	753662	2846637
628	754865	2845447
629	756023	2844089
630	757185	2842746
631	758378	2841519
632	759509	2840060
633	760745	2838996
634	761898	2837621
635	763100	2836430
636	764321	2835309
637	765479	2833954
638	766669	2832719
639	767783	2831203
640	768921	2829774
641	770083	2828436
642	771229	2827040
643	772332	2825489
644	773494	2824153
645	774675	2822888
646	775892	2821752
647	777008	2820253
648	778120	2818737
649	779272	2817369
650	780418	2815981
651	781577	2814636
652	782832	2813640
653	784091	2812656
654	785186	2811087
655	786314	2809637
656	787500	2808391
657	788656	2807041
658	789895	2805985
659	791049	2804629
660	792230	2803369
661	793562	2802642
662	794866	2801815
663	796091	2800708
664	797323	2799625
665	798458	2798202
666	799644	2796958
667	800840	2795747
668	802023	2794493
669	803272	2793468
670	804424	2792107
671	805603	2790841
672	806855	2789824
673	808100	2788787
674	809246	2787404
675	810507	2786419
676	811658	2785057
677	812864	2783879
678	814020	2782535
679	815185	2781220
680	816308	2779764
681	817466	2778427
682	818589	2776970
683	819719	2775541
684	820955	2774469
685	822091	2773061
686	823257	2771753
687	824442	2770508
688	825692	2769485
689	826801	2767988
690	827975	2766707
691	829174	2765511
692	830402	2764412
693	831554	2763060
694	832686	2761642
695	833870	2760397
696	835108	2759333
697	836316	2758168
698	837521	2756992
699	838633	2755508
700	839805	2754225
701	841052	2753188
702	842237	2751947
703	843458	2750823
704	844658	2749632
705	845876	2748500
706	847083	2747330
707	848324	2746272
708	849575	2745243
709	850722	2743879
710	851862	2742493
711	853067	2741316
712	854198	2739905
713	855364	2738603
714	856496	2737194
715	857659	2735886
716	858793	2734483
717	860016	2733368
718	861232	2732227
719	862450	2731092
720	863623	2729817
721	864912	2728906
722	866104	2727689
723	867261	2726362
724	868405	2724997
725	869605	2723806
726	870721	2722351
727	871843	2720918
728	873012	2719632
729	874164	2718292
730	875307	2716925
731	876554	2715881
732	877813	2714874
733	878966	2713540
734	880125	2712223
735	881328	2711042
736	882445	2709597
737	883659	2708451
738	884808	2707108
739	885958	2705764
740	887166	2704599
741	888338	2703326
742	889464	2701914
743	890595	2700514
744	891740	2699159
745	892980	2698093
746	894107	2696684
747	895290	2695447
748	896456	2694155
749	897621	2692863
750	898747	2691455
751	900008	2690449
752	901224	2689312
753	902468	2688255
754	903640	2686984
755	904862	2685863
756	906090	2684757
757	907268	2683502
758	908424	2682185
759	909610	2680957
760	910767	2679641
761	911970	2678463
762	913098	2677066
763	914254	2675749
764	915471	2674611
765	916618	2673269
766	917720	2671798
767	918960	2670728
768	920154	2669525
769	921393	2668450
770	922559	2667165
771	923781	2666043
772	924922	2664684
773	926069	2663347
774	927300	2662250
775	928489	2661033
776	929689	2659846
777	930809	2658430
778	932059	2657387
779	933350	2656457
780	934514	2655169
781	935663	2653837
782	936776	2652405
783	937952	2651151
784	939129	2649899
785	940305	2648648
786	941450	2647307
787	942631	2646065
788	943818	2644844
789	944999	2643605
790	946145	2642268
791	947323	2641021
792	948478	2639713
