iter	Logloss
0	0.6762352315
1	0.662524086
2	0.6482195868
3	0.6360653422
4	0.6252422721
5	0.6137746352
6	0.603096821
7	0.5927117154
8	0.5838742709
9	0.5763638382
10	0.567607757
11	0.5595881111
12	0.5514492474
13	0.5444877012
14	0.5388357137
15	0.5327340161
16	0.5269605728
17	0.5211423147
18	0.5173232838
19	0.5126657441
20	0.5082290436
21	0.5046718885
22	0.5008578933
23	0.4964454366
24	0.4931586112
25	0.489258527
26	0.4862185481
27	0.4834035354
28	0.4799187319
29	0.4779713593
30	0.4757847299
31	0.4727851086
32	0.4698761222
33	0.4667996213
34	0.4644736916
35	0.4627858973
36	0.4605782461
37	0.4580146213
38	0.4561735856
39	0.454358593
40	0.4523522908
41	0.4505865577
42	0.4486406115
43	0.4474007588
44	0.4455092803
45	0.4432261223
46	0.4416101515
47	0.4398977253
48	0.4379507718
49	0.4364531588
50	0.4349713943
51	0.4338229884
52	0.4320067732
53	0.430719472
54	0.4294962952
55	0.4283555737
56	0.4268228672
57	0.4253144995
58	0.4240860125
59	0.4229706609
60	0.4218272514
61	0.4207648577
62	0.4198178299
63	0.4186193046
64	0.4175178109
65	0.4165997983
66	0.4155776673
67	0.4147766277
68	0.4139008337
69	0.412905212
70	0.4121800722
71	0.4105893998
72	0.4097817464
73	0.4088404776
74	0.4079001727
75	0.4071034039
76	0.4058153559
77	0.4047221848
78	0.4038640439
79	0.4030532689
80	0.4017696589
81	0.4009845543
82	0.4000890596
83	0.3995317319
84	0.3978545321
85	0.3972963951
86	0.3968226881
87	0.3954385997
88	0.3949550803
89	0.3943649244
90	0.3937242896
91	0.3921992646
92	0.3917170651
93	0.3911432294
94	0.3903542232
95	0.3897882942
96	0.3886253044
97	0.3880406389
98	0.3869195154
99	0.3859837633
100	0.3854321406
101	0.3850694592
102	0.3844442442
103	0.3841650685
104	0.3834663105
105	0.3830233088
106	0.3820141161
107	0.3813414496
108	0.3805059652
109	0.3794584826
110	0.3790386025
111	0.378630978
112	0.3782538519
113	0.3775480572
114	0.3768072815
115	0.3762355058
116	0.3756371474
117	0.3749773429
118	0.3744648874
119	0.374068233
120	0.3734022984
121	0.3729754423
122	0.3725250374
123	0.3721478541
124	0.3719113799
125	0.371569836
126	0.3711021224
